Sam	Sam Base/E
The team is having a good run and Fizz is sure that winning the League is a matter of time.	
Fizz seems to be very confused of how a small soccer ball can change the fate of the universe.	
Fizz seems to be upset about losing a body check against his opponent.	
Fizz is asking what the conditions of a team ace are with a serious face. Let's talk with him.	
Fizz is surprised of how sturdy the ball is, as it withstands the strength of angels, demons, and even beings of unknown worlds.	
Fizz plans to continue playing soccer even after the Galaxy League ends. Let's talk with him.	
It's a hard match and your team is losing. Talk with Fizz and talk about what to do.	
Fizz seems to be lost. He says he no longer hates the rival team.	
You were enjoying the peaceful day on Earth until the Peacemakers suddenly showed up. At that moment, the Magical Girl Elements came to save the day!	
Vitos suddenly laughs in joy during the match against the Empire. Why?	
Fizz's form has been improving rapidly. He says he can't wait for the next match. What should we say to him?	
During a match, Fizz bumped into a teammate and knocked the player out. He seems depressed. What should we say to cheer him up?	
Fizz is complaining about restricted from playing the next match for receiving too many fouls. Let's talk to him.	
You're at the Yggdrasil memorial ceremony. The Yggdrasil Guardians are parading through the festive crowd.	
Fizz is suddenly taking interest in who Shootmeister actually is. What should we say?	
Your team is playing against the Scout Entries and Malcolm seems to be enjoying himself a little too much. Fizz is starting to get intimidated.	
Fizz is worried about the team's poor performance. Let's go talk to him.	
Fizz is curious about the Galaxy League. What answer will help him?	
Fizz wants to hear about your plans on training the new players. What should we answer?	
Fizz is being sentimental about how soccer, which was supposed to be a one time thing, became his life. Let's talk with him.	
Fizz is asking what to buy in the souvenir shop. Let's give him an opinion.	
Fizz is asking who you think of first when you win a match. Let's answer.	
This match will be held on Earth. We still have some time. What do you want to do?	
Fizz says that Hiro, a member of the Einherjar, doesn't remember why he was revived.	
The rain has messed up the field and the enemy team seems to be determined to crush your team.	
Fizz seems to be curious about Bora's covered eye. What should we answer?	
Ogre's pony tail slapped Fizz in the face!	
It's a throwing chance, but the opponent team player suddenly jumps in joy saying his baby brother is born. What should you do?	
Fizz is suddenly showing massive improvement in his performance. He must've learned something during a match.	
Fizz says that the Swirlies are missing.	
Fizz says she forgot to use her skill points before entering the match. What should we say to him?	
You witness Fontus, the most violent and powerful creature in the universe, flying the night sky in a Santa costume.	
Fizz picked up a diary. It says Bell on the cover.	
Sorrow suddenly flies off after seeing a shiny object in the sky.	
Fizz is irritated because her opponent has the attribute advantage over her.	
Fizz thinks Nana on the other team actually isn't a raccoon.	
Fizz seems to be lost after having a good match while his fortune-telling said things would go wrong. Let's talk to him.	
With a serious face, Fizz is asking what the true meaning of competition is. Let's give him an answer.	
Fizz came to you after the match, and says he's disappointed at the team's boring strategy. What should we say?	
Fizz is curious of the whereabouts of the managers that are nowhere to be seen during the match. Let's give him an answer.	
The team is having a good run and Fizz is sure that winning the League is a matter of time.	
Fizz seems to be very confused of how a small soccer ball can change the fate of the universe.	
Fizz seems to be upset about losing a body check against his opponent.	
Fizz is asking what the conditions of a team ace are with a serious face. Let's talk with him.	
Fizz is surprised of how sturdy the ball is, as it withstands the strength of angels, demons, and even beings of unknown worlds.	
Fizz plans to continue playing soccer even after the Galaxy League ends. Let's talk with him.	
It's a hard match and your team is losing. Talk with Fizz and talk about what to do.	
Fizz seems to be lost. He says he no longer hates the rival team.	
You were enjoying the peaceful day on Earth until the Peacemakers suddenly showed up. At that moment, the Magical Girl Elements came to save the day!	
Vitos suddenly laughs in joy during the match against the Empire. Why?	
Fizz's form has been improving rapidly. He says he can't wait for the next match. What should we say to him?	
During a match, Fizz bumped into a teammate and knocked the player out. He seems depressed. What should we say to cheer him up?	
Fizz is complaining about restricted from playing the next match for receiving too many fouls. Let's talk to him.	
You're at the Yggdrasil memorial ceremony. The Yggdrasil Guardians are parading through the festive crowd.	
Fizz is suddenly taking interest in who Shootmeister actually is. What should we say?	
Your team is playing against the Scout Entries and Malcolm seems to be enjoying himself a little too much. Fizz is starting to get intimidated.	
	
Mika	
Mika is looking excited and asks how the match went.	
This was the worst game in your entire life...Mika comes to you to cheer you up.	
You're talking to Mika about what you would do if the world ends tomorrow. Let's tell her your answer.	
Mika is worried about all of the powerful beings that will be competing in the Galaxy League. Let's say something to her.	
Mika is training hard to become scouted like the players that moved to teams that offered better conditions. Let's give her some advice.	
Mika isn't pleased with the team's recent plays. She feels that the plays have become somewhat repetitive and dull.	
With back to back matches, the team is exhausted. Let's talk to Mika for solutions.	
The team manger ran away with all of the team's money. What should we do?	
You were taking a walk in the Nadir forest with Mika and came across Enthia standing in the middle of a burnt part of the forest.	
Nari is dancing and singing a song about the galaxy.	
According to Mika's words, Tyler went to school 1 year earlier than William.	
Mika thinks she knows who Lynbell's brother is. What should we do?	
Mika won a trip around the world from a radio event!	
Mika suggests that we visit the Celestial Castle, which is a place that the baby angels live.	
The opponent team barges into the field and mocks your team saying your team is better off playing foot volleyball.	
You're sick and in bed when Mika and the teammates come to cheer you up. What will your response be?	
The match and the concert that Mika was looking for start at the same time...	
Mika wonders why Castor twitches whenever he sees Beatrice.	
MX54 Butcher is closing in on a cat with a suspicious smile.	
The match started and Mika is standing still doing nothing.	
Mika is asking about what's the most important condition in winning today's match. Let's give her an answer.	
Mika, who is determined to make everything in her life, even her dreams, about soccer, asks you what it's like to dream about soccer. Let's think about it.	
Mika announces that she will become an influential player that changes the league completely. Let's give her an answer.	
Mika is depressed thinking that winning the Galaxy League is a goal that can't be achieved. What should we say to her?	
Mika wants to cherish every precious meeting with other people and beings. She wants to be good friends with everybody. Let's talk to her.	
It seems that Mika is lost in the Nadir forest. What should we do?	
You find Mika lurking around the food corner at the shopping center. What should we say?	
Mika says she doesn't understand why other angels are afraid of Uriel. She thinks Uriel is a very kind angel.	
A teammate is being stubborn about going out on the field while having a very severe fever. What should we do?	
Mika wants the team to enter the Underground League on Earth. What should we do?	
Mika caught a player on the other team spying on your team's practice. What should we do?	
The middle fielder on the other team is too powerful. Let's give Mika some orders.	
Something must have startled Beelzebub. He has entered the field and is making a scene.	
You come across an opponent player limping, because of getting injured during a match against your team. Mika seems to be worried.	
Mika came back without a penny after marching into the Casino.	
James is fighting Akane after ambushing Yuri, and Bora is slowly making her approach from a distance.	
Mika is sad that the World Tree in Umbra has withered. What could we say to cheer her up?	
Mimi continues to praise Princess Meiran and it's likely that this isn't going to end any time soon. Mika seems to be sick of this.	
Mika looks startled after learning the underworld actually exists.	
The team is in a slump and you take the team out for refreshment. Talk with Mika to set some simple rules.	
Mika is looking excited and asks how the match went.	
This was the worst game in your entire life...Mika comes to you to cheer you up.	
You're talking to Mika about what you would do if the world ends tomorrow. Let's tell her your answer.	
Mika is worried about all of the powerful beings that will be competing in the Galaxy League. Let's say something to her.	
Mika is training hard to become scouted like the players that moved to teams that offered better conditions. Let's give her some advice.	
Mika isn't pleased with the team's recent plays. She feels that the plays have become somewhat repetitive and dull.	
With back to back matches, the team is exhausted. Let's talk to Mika for solutions.	
The team manger ran away with all of the team's money. What should we do?	
You were taking a walk in the Nadir forest with Mika and came across Enthia standing in the middle of a burnt part of the forest.	
Nari is dancing and singing a song about the galaxy.	
According to Mika's words, Tyler went to school 1 year earlier than William.	
Mika thinks she knows who Lynbell's brother is. What should we do?	
Mika won a trip around the world from a radio event!	
Mika suggests that we visit the Celestial Castle, which is a place that the baby angels live.	
The opponent team barges into the field and mocks your team saying your team is better off playing foot volleyball.	
You're sick and in bed when Mika and the teammates come to cheer you up. What will your response be?	
The match and the concert that Mika was looking for start at the same time...	
Mika wonders why Castor twitches whenever he sees Beatrice.	
MX54 Butcher is closing in on a cat with a suspicious smile.	
The match started and Mika is standing still doing nothing.	
Mika is asking about what's the most important condition in winning today's match. Let's give her an answer.	
Mika, who is determined to make everything in her life, even her dreams, about soccer, asks you what it's like to dream about soccer. Let's think about it.	
Mika announces that she will become an influential player that changes the league completely. Let's give her an answer.	
Mika is depressed thinking that winning the Galaxy League is a goal that can't be achieved. What should we say to her?	
Mika wants to cherish every precious meeting with other people and beings. She wants to be good friends with everybody. Let's talk to her.	
It seems that Mika is lost in the Nadir forest. What should we do?	
You find Mika lurking around the food corner at the shopping center. What should we say?	
Mika says she doesn't understand why other angels are afraid of Uriel. She thinks Uriel is a very kind angel.	
A teammate is being stubborn about going out on the field while having a very severe fever. What should we do?	
Mika wants the team to enter the Underground League on Earth. What should we do?	
Mika caught a player on the other team spying on your team's practice. What should we do?	
The middle fielder on the other team is too powerful. Let's give Mika some orders.	
Something must have startled Beelzebub. He has entered the field and is making a scene.	
You come across an opponent player limping, because of getting injured during a match against your team. Mika seems to be worried.	
Mika came back without a penny after marching into the Casino.	
James is fighting Akane after ambushing Yuri, and Bora is slowly making her approach from a distance.	
Mika is sad that the World Tree in Umbra has withered. What could we say to cheer her up?	
Mimi continues to praise Princess Meiran and it's likely that this isn't going to end any time soon. Mika seems to be sick of this.	
Mika looks startled after learning the underworld actually exists.	
The team is in a slump and you take the team out for refreshment. Talk with Mika to set some simple rules.	
	
Armati	
Armati is asking about the team's goal of this season. What should you tell her?	
Armati is asking about my ideal type of person. Should be careful about answering this...	
Armati seems to be thinking that the team has already become the best in the universe. She seems a bit too carried away. What should you do?	
Armati is arrogantly looking down at the other team. Let's stop her from causing any problems.	
Does one have to make intentional fouls in order to win? Let's give her some advice.	
Armati is having trouble deciding a name for her special move. Her options are ''Infinity Illusion Shot'', ''11th Dimension Ultra Gravity Shot'', ''Astral Space Shot'', and a few more.	
Armati is all alone in the locker room worrying about the fate of the universe. Let's go talk to her.	
Armati is making a scene. She'd rather jump into space than to be eaten alive by vicious aliens.	
Armati is blaming the team for their pass mistakes and is questioning their soccer skills.	
Armati is complaining that it's boring to play only soccer every day. What should we say to her?	
It's before the 2nd half, and Armati is complaining that we're up against an opponent that's too strong.	
You forgot to lock Armati and almost used her as training material! She looks very upset!	
Armati is confused that she won the MVP. What should you tell him?	
Armati is talking with the team about what they would be doing if they didn't start soccer. Let's join them.	
The team is saying bad things about Armati for skipping practice. Time to intervene.	
Armati is mesmerized by the majestic scenery of a dragon flying in the skies of the Iron Canyon.	
Armati seems to be worried about one of the team members that left after a quarrel. Let's talk to her.	
On a day off, Armati is looking at a passing couple with jealous eyes.	
Armati is asking you about the one thing you want the most in the universe. What do you tell him?	
There's been a mistake. The team's uniform is mixed up with the festival costumes. What should you tell the team?	
You find Armati depressed for not playing well during the match. Let's cheer her up.	
Armati is questioning your promise to make the best team ever. It's time to redeem yourself.	
You come across Armati being lost and wandering around while going back to the lodging. Let's talk to her.	
Armati is asking about your thoughts on meeting an extraterrestrial being. Let's give her an answer.	
Armati is having trouble with continuing nightmares. Let's talk to her.	
Armati is stressed out saying her opponent has the upper ground on every aspect. What should we do?	
Armati seems to be satisfied with the perfect team work. Let's talk to her.	
You come across Armati who is limping. She says it's nothing. What should we do?	
You visit Marilyn's house and see Hildegard eating ramen.	
You're watching the storm with Armati and you spot Princess Meiran taking a walk while humming.	
Armati looks nervous because the team will be moving to the planet where the next match will be held by taking a space shuttle without the help of Littre.	
Armati's opponent is smiling whenever they confront each other on the field. Armati seems to be nervous. Let's talk to her.	
Baltheon, who was upset when he was asked about his past, suddenly started to feel better when he saw Armati.	
The members of Siena Celtron are furiously searching the stadium for Kuma.	
The game ended as a tie, but it seems that the competition between Armati and her opponent isn't over yet.	
The team will be cleaning up the lodging. What will you have Armati do?	
The opponent team is spreading rumors that they lost because your team played dirty. What should we do?	
A player on the other team says soccer became enjoyable after confronting Armati. What should you say?	
Armati is angry about the opponent's resilient attack on you. What should we say?	
Latios is chatting with Armati after the match. Let's barge in.	
Armati is asking about the team's goal of this season. What should you tell her?	
Armati is asking about my ideal type of person. Should be careful about answering this...	
Armati seems to be thinking that the team has already become the best in the universe. She seems a bit too carried away. What should you do?	
Armati is arrogantly looking down at the other team. Let's stop her from causing any problems.	
Does one have to make intentional fouls in order to win? Let's give her some advice.	
Armati is having trouble deciding a name for her special move. Her options are ''Infinity Illusion Shot'', ''11th Dimension Ultra Gravity Shot'', ''Astral Space Shot'', and a few more.	
Armati is all alone in the locker room worrying about the fate of the universe. Let's go talk to her.	
Armati is making a scene. She'd rather jump into space than to be eaten alive by vicious aliens.	
Armati is blaming the team for their pass mistakes and is questioning their soccer skills.	
Armati is complaining that it's boring to play only soccer every day. What should we say to her?	
It's before the 2nd half, and Armati is complaining that we're up against an opponent that's too strong.	
You forgot to lock Armati and almost used her as training material! She looks very upset!	
Armati is confused that she won the MVP. What should you tell him?	
Armati is talking with the team about what they would be doing if they didn't start soccer. Let's join them.	
The team is saying bad things about Armati for skipping practice. Time to intervene.	
Armati is mesmerized by the majestic scenery of a dragon flying in the skies of the Iron Canyon.	
Armati seems to be worried about one of the team members that left after a quarrel. Let's talk to her.	
On a day off, Armati is looking at a passing couple with jealous eyes.	
Armati is asking you about the one thing you want the most in the universe. What do you tell him?	
There's been a mistake. The team's uniform is mixed up with the festival costumes. What should you tell the team?	
You find Armati depressed for not playing well during the match. Let's cheer her up.	
Armati is questioning your promise to make the best team ever. It's time to redeem yourself.	
You come across Armati being lost and wandering around while going back to the lodging. Let's talk to her.	
Armati is asking about your thoughts on meeting an extraterrestrial being. Let's give her an answer.	
Armati is having trouble with continuing nightmares. Let's talk to her.	
Armati is stressed out saying her opponent has the upper ground on every aspect. What should we do?	
Armati seems to be satisfied with the perfect team work. Let's talk to her.	
You come across Armati who is limping. She says it's nothing. What should we do?	
You visit Marilyn's house and see Hildegard eating ramen.	
You're watching the storm with Armati and you spot Princess Meiran taking a walk while humming.	
Armati looks nervous because the team will be moving to the planet where the next match will be held by taking a space shuttle without the help of Littre.	
Armati's opponent is smiling whenever they confront each other on the field. Armati seems to be nervous. Let's talk to her.	
Baltheon, who was upset when he was asked about his past, suddenly started to feel better when he saw Armati.	
The members of Siena Celtron are furiously searching the stadium for Kuma.	
The game ended as a tie, but it seems that the competition between Armati and her opponent isn't over yet.	
The team will be cleaning up the lodging. What will you have Armati do?	
The opponent team is spreading rumors that they lost because your team played dirty. What should we do?	
A player on the other team says soccer became enjoyable after confronting Armati. What should you say?	
Armati is angry about the opponent's resilient attack on you. What should we say?	
Latios is chatting with Armati after the match. Let's barge in.	
	
Uriel	
Uriel is asking about what's the most important condition in winning today's match. Let's give her an answer.	
Uriel, who is determined to make everything in her life, even her dreams, about soccer, asks you what it's like to dream about soccer. Let's think about it.	
Uriel announces that she will become an influential player that changes the league completely. Let's give her an answer.	
Uriel is depressed thinking that winning the Galaxy League is a goal that can't be achieved. What should we say to her?	
Uriel wants to cherish every precious meeting with other people and beings. She wants to be good friends with everybody. Let's talk to her.	
It seems that Uriel is lost in the Nadir forest. What should we do?	
You find Uriel lurking around the food corner at the shopping center. What should we say?	
Uriel says she doesn't understand why other angels are afraid of Uriel. She thinks Uriel is a very kind angel.	
A teammate is being stubborn about going out on the field while having a very severe fever. What should we do?	
Uriel wants the team to enter the Underground League on Earth. What should we do?	
Uriel caught a player on the other team spying on your team's practice. What should we do?	
The middle fielder on the other team is too powerful. Let's give Uriel some orders.	
Something must have startled Beelzebub. He has entered the field and is making a scene.	
You come across an opponent player limping, because of getting injured during a match against your team. Uriel seems to be worried.	
Uriel came back without a penny after marching into the Casino.	
James is fighting Akane after ambushing Yuri, and Bora is slowly making her approach from a distance.	
Uriel is sad that the World Tree in Umbra has withered. What could we say to cheer her up?	
Mimi continues to praise Princess Meiran and it's likely that this isn't going to end any time soon. Uriel seems to be sick of this.	
Uriel looks startled after learning the underworld actually exists.	
The team is in a slump and you take the team out for refreshment. Talk with Uriel to set some simple rules.	
Uriel seems to be lost after having a good match while her fortune-telling said things would go wrong. Let's talk to her.	
With a serious face, Uriel is asking what the true meaning of competition is. Let's give her an answer.	
Uriel came to you after the match, and says she's disappointed at the team's boring strategy. What should we say?	
Uriel is curious of the whereabouts of the managers that are nowhere to be seen during the match. Let's give her an answer.	
The team is having a good run and Uriel is sure that winning the League is a matter of time.	
Uriel seems to be very confused of how a small soccer ball can change the fate of the universe.	
Uriel seems to be upset about losing a body check against her opponent.	
Uriel is asking what the conditions of a team ace are with a serious face. Let's talk with her.	
Uriel is surprised of how sturdy the ball is, as it withstands the strength of angels, demons, and even beings of unknown worlds.	
Uriel plans to continue playing soccer even after the Galaxy League ends. Let's talk with her.	
It's a hard match and your team is losing. Talk with Uriel and talk about what to do.	
Uriel seems to be lost. She says she no longer hates the rival team.	
You were enjoying the peaceful day on Earth until the Peacemakers suddenly showed up. At that moment, the Magical Girl Elements came to save the day!	
Vitos suddenly laughs in joy during the match against the Empire. Why?	
Uriel's form has been improving rapidly. She says she can't wait for the next match. What should we say to her?	
During a match, Uriel bumped into a teammate and knocked the player out. She seems depressed. What should we say to cheer her up?	
Uriel is complaining about restricted from playing the next match for receiving too many fouls. Let's talk to her.	
You're at the Yggdrasil memorial ceremony. The Yggdrasil Guardians are parading through the festive crowd.	
Uriel is suddenly taking interest in who Shootmeister actually is. What should we say?	
Your team is playing against the Scout Entries and Malcolm seems to be enjoying himself a little too much. Uriel is starting to get intimidated.	
Uriel is asking about what's the most important condition in winning today's match. Let's give her an answer.	
Uriel, who is determined to make everything in her life, even her dreams, about soccer, asks you what it's like to dream about soccer. Let's think about it.	
Uriel announces that she will become an influential player that changes the league completely. Let's give her an answer.	
Uriel is depressed thinking that winning the Galaxy League is a goal that can't be achieved. What should we say to her?	
Uriel wants to cherish every precious meeting with other people and beings. She wants to be good friends with everybody. Let's talk to her.	
It seems that Uriel is lost in the Nadir forest. What should we do?	
You find Uriel lurking around the food corner at the shopping center. What should we say?	
Uriel says she doesn't understand why other angels are afraid of Uriel. She thinks Uriel is a very kind angel.	
A teammate is being stubborn about going out on the field while having a very severe fever. What should we do?	
Uriel wants the team to enter the Underground League on Earth. What should we do?	
Uriel caught a player on the other team spying on your team's practice. What should we do?	
The middle fielder on the other team is too powerful. Let's give Uriel some orders.	
Something must have startled Beelzebub. He has entered the field and is making a scene.	
You come across an opponent player limping, because of getting injured during a match against your team. Uriel seems to be worried.	
Uriel came back without a penny after marching into the Casino.	
James is fighting Akane after ambushing Yuri, and Bora is slowly making her approach from a distance.	
Uriel is sad that the World Tree in Umbra has withered. What could we say to cheer her up?	
Mimi continues to praise Princess Meiran and it's likely that this isn't going to end any time soon. Uriel seems to be sick of this.	
Uriel looks startled after learning the underworld actually exists.	
The team is in a slump and you take the team out for refreshment. Talk with Uriel to set some simple rules.	
Uriel seems to be lost after having a good match while her fortune-telling said things would go wrong. Let's talk to her.	
With a serious face, Uriel is asking what the true meaning of competition is. Let's give her an answer.	
Uriel came to you after the match, and says she's disappointed at the team's boring strategy. What should we say?	
Uriel is curious of the whereabouts of the managers that are nowhere to be seen during the match. Let's give her an answer.	
The team is having a good run and Uriel is sure that winning the League is a matter of time.	
Uriel seems to be very confused of how a small soccer ball can change the fate of the universe.	
Uriel seems to be upset about losing a body check against her opponent.	
Uriel is asking what the conditions of a team ace are with a serious face. Let's talk with her.	
Uriel is surprised of how sturdy the ball is, as it withstands the strength of angels, demons, and even beings of unknown worlds.	
Uriel plans to continue playing soccer even after the Galaxy League ends. Let's talk with her.	
It's a hard match and your team is losing. Talk with Uriel and talk about what to do.	
Uriel seems to be lost. She says she no longer hates the rival team.	
You were enjoying the peaceful day on Earth until the Peacemakers suddenly showed up. At that moment, the Magical Girl Elements came to save the day!	
Vitos suddenly laughs in joy during the match against the Empire. Why?	
Uriel's form has been improving rapidly. She says she can't wait for the next match. What should we say to her?	
During a match, Uriel bumped into a teammate and knocked the player out. She seems depressed. What should we say to cheer her up?	
Uriel is complaining about restricted from playing the next match for receiving too many fouls. Let's talk to her.	
You're at the Yggdrasil memorial ceremony. The Yggdrasil Guardians are parading through the festive crowd.	
Uriel is suddenly taking interest in who Shootmeister actually is. What should we say?	
Your team is playing against the Scout Entries and Malcolm seems to be enjoying himself a little too much. Uriel is starting to get intimidated.	
	
Azrael	
Azrael is asking about the team's goal of this season. What should you tell her?	
Azrael is asking about my ideal type of person. Should be careful about answering this...	
Azrael seems to be thinking that the team has already become the best in the universe. She seems a bit too carried away. What should you do?	
Azrael is arrogantly looking down at the other team. Let's stop her from causing any problems.	
Does one have to make intentional fouls in order to win? Let's give her some advice.	
Azrael is having trouble deciding a name for her special move. Her options are ''Infinity Illusion Shot'', ''11th Dimension Ultra Gravity Shot'', ''Astral Space Shot'', and a few more.	
Azrael is all alone in the locker room worrying about the fate of the universe. Let's go talk to her.	
Azrael is making a scene. She'd rather jump into space than to be eaten alive by vicious aliens.	
Azrael is blaming the team for their pass mistakes and is questioning their soccer skills.	
Azrael is complaining that it's boring to play only soccer every day. What should we say to her?	
It's before the 2nd half, and Azrael is complaining that we're up against an opponent that's too strong.	
You forgot to lock Azrael and almost used her as training material! She looks very upset!	
Azrael is confused that she won the MVP. What should you tell him?	
Azrael is talking with the team about what they would be doing if they didn't start soccer. Let's join them.	
The team is saying bad things about Azrael for skipping practice. Time to intervene.	
Azrael is mesmerized by the majestic scenery of a dragon flying in the skies of the Iron Canyon.	
Azrael seems to be worried about one of the team members that left after a quarrel. Let's talk to her.	
On a day off, Azrael is looking at a passing couple with jealous eyes.	
Azrael is asking you about the one thing you want the most in the universe. What do you tell him?	
There's been a mistake. The team's uniform is mixed up with the festival costumes. What should you tell the team?	
Still looking pretty heated up by the match, Azrael is asking how she did in the match.	
Azrael looks excited as she's talking with the team about pets. She turns around and asks you what kind of pet you like.	
You come across Azrael thinking about the value of soccer. What should we tell her?	
Azrael is having trouble focusing on the match because of the affectionate emotion she feels. She says she must leave now to propose to her lover. What should we say?	
Azrael blushes up and tells you that she's happy she can play soccer with you. What should we tell her?	
Azrael is asking for special training sessions because she's not satisfied with today's performance. What should we tell her?	
Azrael did her best, but she failed to achieve the results she wanted and looks sad. We should say something to her.	
Azrael is asking you about what you like besides soccer.	
Azrael feels her heart races when she sees Littre.	
Kuma is caught sneaking in the woman's locker room once again. We should talk with Azrael about what to do with him.	
Azrael continues to charge into the opponent's defense line and keeps failing. What should we do?	
Azrael is being annoying with her offensive words. What should we do?	
It's dinner time and Azrael is staring at her carrot soup with a troubled look. What should we do?	
It's early in the morning and there are players that are having trouble waking up for the morning training. What should we tell Azrael to do?	
Azrael says that the soup tastes funny. What should we do?	
Azrael is furious about the referee that's clearly favoring the other team. Should we stop her?	
It suddenly began to rain heavily. You see Azrael running up ahead.	
You witnessed a player on the other side putting a tack in Azrael's shoe.	
During the team meeting, you find a player sleeping. What should you do?	
Azrael hurt her leg during the 1st half of the match, but she insists on playing. What should we tell her?	
Azrael is asking about the team's goal of this season. What should you tell her?	
Azrael is asking about my ideal type of person. Should be careful about answering this...	
Azrael seems to be thinking that the team has already become the best in the universe. She seems a bit too carried away. What should you do?	
Azrael is arrogantly looking down at the other team. Let's stop her from causing any problems.	
Does one have to make intentional fouls in order to win? Let's give her some advice.	
Azrael is having trouble deciding a name for her special move. Her options are ''Infinity Illusion Shot'', ''11th Dimension Ultra Gravity Shot'', ''Astral Space Shot'', and a few more.	
Azrael is all alone in the locker room worrying about the fate of the universe. Let's go talk to her.	
Azrael is making a scene. She'd rather jump into space than to be eaten alive by vicious aliens.	
Azrael is blaming the team for their pass mistakes and is questioning their soccer skills.	
Azrael is complaining that it's boring to play only soccer every day. What should we say to her?	
It's before the 2nd half, and Azrael is complaining that we're up against an opponent that's too strong.	
You forgot to lock Azrael and almost used her as training material! She looks very upset!	
Azrael is confused that she won the MVP. What should you tell him?	
Azrael is talking with the team about what they would be doing if they didn't start soccer. Let's join them.	
The team is saying bad things about Azrael for skipping practice. Time to intervene.	
Azrael is mesmerized by the majestic scenery of a dragon flying in the skies of the Iron Canyon.	
Azrael seems to be worried about one of the team members that left after a quarrel. Let's talk to her.	
On a day off, Azrael is looking at a passing couple with jealous eyes.	
Azrael is asking you about the one thing you want the most in the universe. What do you tell him?	
There's been a mistake. The team's uniform is mixed up with the festival costumes. What should you tell the team?	
Still looking pretty heated up by the match, Azrael is asking how she did in the match.	
Azrael looks excited as she's talking with the team about pets. She turns around and asks you what kind of pet you like.	
You come across Azrael thinking about the value of soccer. What should we tell her?	
Azrael is having trouble focusing on the match because of the affectionate emotion she feels. She says she must leave now to propose to her lover. What should we say?	
Azrael blushes up and tells you that she's happy she can play soccer with you. What should we tell her?	
Azrael is asking for special training sessions because she's not satisfied with today's performance. What should we tell her?	
Azrael did her best, but she failed to achieve the results she wanted and looks sad. We should say something to her.	
Azrael is asking you about what you like besides soccer.	
Azrael feels her heart races when she sees Littre.	
Kuma is caught sneaking in the woman's locker room once again. We should talk with Azrael about what to do with him.	
Azrael continues to charge into the opponent's defense line and keeps failing. What should we do?	
Azrael is being annoying with her offensive words. What should we do?	
It's dinner time and Azrael is staring at her carrot soup with a troubled look. What should we do?	
It's early in the morning and there are players that are having trouble waking up for the morning training. What should we tell Azrael to do?	
Azrael says that the soup tastes funny. What should we do?	
Azrael is furious about the referee that's clearly favoring the other team. Should we stop her?	
It suddenly began to rain heavily. You see Azrael running up ahead.	
You witnessed a player on the other side putting a tack in Azrael's shoe.	
During the team meeting, you find a player sleeping. What should you do?	
Azrael hurt her leg during the 1st half of the match, but she insists on playing. What should we tell her?	
	
Anael	
The team made it up to the semi-finals after counting the goal differences. Anael asks how you feel. How should we answer?	
Anael suggests that we have a team dinner to lighten things up. What will be your reaction?	
Anael is saying that her teammates are what keeps her going.	
Anael has shown outstanding performance on both the offensive and defensive side. She is asking for your evaluation on her plays. Let's give her an answer.	
As Anael said, the universe is facing a new course of destiny because of the Galaxy League. Let's talk to her.	
The crowd is cheering for Anael. Anael seems to find this situation new and a bit uncomfortable. Let's help her out.	
Anael is impressed by the help she received from the elementals. Let's talk to her.	
Anael was watching penguins play soccer and suddenly decided to raise a pet penguin herself. Let's talk to her.	
The team will not have a match for some time. Anael asks you about your plan.	
It's a very intense match and Anael falls on the ground, but a player on the other team helps Anael up and the two exchange smiles.	
The next opponent is the Lab Rat Entry. You hear that all of the players on the other team are victims of experiments and this makes you feel uncomfortable.	
You're walking in a narrow ally and come across Anael having an intense staring contest with the captain of the opposing team. What should we say?	
Anael is surrounded by fans and seems to be overwhelmed. Let's talk to her.	
Anael scored a hat trick and led the team to a complete victory! Congratulate her!	
A player on the other side is on the field with his arms tied up. Let's talk about this with Anael.	
Anael falls to the ground after clashing with the opponent. What should we say to her?	
Anael lost to the opponent and fell to the ground. What should we do?	
You come across Sammy while walking the street with Anael. Let's talk to her.	
Lynia is cleaning the streets with the members of Jeneva Crew. Anael is curious and wants to take a look.	
Anael brought a drink that she says received from the coach on the other team. It looks very suspicious especially with the dark fumes coming out of it.	
Anael says she's the center of the team and asks if you agree with her. How should we answer?	
Anael asks you about your plans after winning the Galaxy League. Let's give her a sincere answer.	
Anael is getting suspicious about how all the Gate Keepers are in the form of different animals.	
Anael looks excited to see a comet shower, which is a rare sight. What should we say to her?	
Anael says she's having trouble dealing with the young players. Let's give her an answer.	
Anael wants to know what the Swirlies really are. Give her an answer.	
Anael is saying that the universe needs more than stars to brighten it up. Let's talk to her.	
Anael says she was cornered by the team which was devastated by the loss streak.	
Anael says that Bell seemed depressed when she told Bell that Minerva's throne is empty.	
Anael seems to get along with the opponent player. What should we tell her?	
Anael is deeply focused on Jill's diet story. What should we do?	
Anael says she's going to meet up with Kiki and asks if you have any questions.	
Kei and Virgil are fighting again and Anael seems to be troubled. What should we do?	
Anael is having a delightful chat with a girl that's holding a turtle.	
Anael went to take a look at the opponent team and got caught. What should we do?	
Anael claims she saw Sophie of team Atlanta coming out of the men's room. What could be the case?	
Anael seems very nervous to confront Kei of the Rescuer.	
Anael says that the captain of team Scout Entry seems to take good care of the team members.	
You enter the lodging feeling lonely on your birthday. The team greets you with a surprise and Anael hands you a present.	
Anael says that she thinks Alkyde looks at Fontus in a funny way. Let's give her an answer.	
The team made it up to the semi-finals after counting the goal differences. Anael asks how you feel. How should we answer?	
